label,algo,n,time_ms,max_depth
ms_rand_5000_seed123,mergesort,5000,2.412100,9
ms_rand_5000_seed123,mergesort,5000,2.412100,9
qs_rand_5000_seed123,quicksort,5000,2.558000,8
qs_rand_5000_seed123,quicksort,5000,2.558000,8
select_rand_5000_seed123_k2500,select,5000,3.067300,11
select_rand_5000_seed123_k2500,select,5000,3.067300,11
closest_rand_5000_seed123,closest,5000,3.642900,12
closest_rand_5000_seed123,closest,5000,3.642900,12
ms_rand_10000_seed123,mergesort,10000,2.989700,10
ms_rand_10000_seed123,mergesort,10000,2.989700,10
qs_rand_10000_seed123,quicksort,10000,4.098200,9
qs_rand_10000_seed123,quicksort,10000,4.098200,9
select_rand_10000_seed123_k5000,select,10000,3.864700,13
select_rand_10000_seed123_k5000,select,10000,3.864700,13
closest_rand_10000_seed123,closest,10000,6.332600,13
closest_rand_10000_seed123,closest,10000,6.332600,13
ms_rand_20000_seed123,mergesort,20000,4.472400,11
ms_rand_20000_seed123,mergesort,20000,4.472400,11
qs_rand_20000_seed123,quicksort,20000,5.547700,9
qs_rand_20000_seed123,quicksort,20000,5.547700,9
select_rand_20000_seed123_k10000,select,20000,5.819000,13
select_rand_20000_seed123_k10000,select,20000,5.819000,13
closest_rand_20000_seed123,closest,20000,13.211700,14
closest_rand_20000_seed123,closest,20000,13.211700,14
